GEO_CODE (POR),Region,CSD_TYPE_NAME,DIM: Low-income measures (2),Member ID: Low-income measures (2),Notes: Low-income measures (2),DIM: Household type (5),Member ID: Household type (5),Notes: Household type (5),Dim: Household low-income status (5): Member ID: [1]: Total - Household low-income status (Note: 5),Dim: Household low-income status (5): Member ID: [2]: Low-income status - not applicable (Note: 6),Dim: Household low-income status (5): Member ID: [3]: Low-income status - applicable,Dim: Household low-income status (5): Member ID: [4]: In low income,Dim: Household low-income status (5): Member ID: [5]: Not in low income,Prevalence of low income,,,preval = M2/(M2+N2) *100
3510010,Kingston,CY,"Low-income measure, after tax (LIM-AT)",1,1,Total - Household type,1,3,53520,0,53515,9870,43650,18.44170404,"low income measure 1 = after tax, 2 = before tax",,
3510010,Kingston,CY,"Low-income measure, after tax (LIM-AT)",1,1,One-person households,2,,17195,0,17195,5350,11845,,,,
3510010,Kingston,CY,"Low-income measure, after tax (LIM-AT)",1,1,Households of two or more persons,3,,36325,0,36325,4520,31810,,,,
3510010,Kingston,CY,"Low-income measure, after tax (LIM-AT)",1,1,One-census-family households without additional persons,4,,30460,0,30460,3430,27030,,,,
3510010,Kingston,CY,"Low-income measure, after tax (LIM-AT)",1,1,Other households of two or more persons,5,4,5865,0,5865,1090,4775,,,,
3510010,Kingston,CY,"Low-income measure, before tax (LIM-BT)",2,2,Total - Household type,1,3,53520,0,53520,11740,41775,,,,
3510010,Kingston,CY,"Low-income measure, before tax (LIM-BT)",2,2,One-person households,2,,17195,0,17195,6090,11105,,,,
3510010,Kingston,CY,"Low-income measure, before tax (LIM-BT)",2,2,Households of two or more persons,3,,36325,0,36325,5655,30670,,,,
3510010,Kingston,CY,"Low-income measure, before tax (LIM-BT)",2,2,One-census-family households without additional persons,4,,30460,0,30460,4290,26170,,,,
3510010,Kingston,CY,"Low-income measure, before tax (LIM-BT)",2,2,Other households of two or more persons,5,4,5865,0,5865,1365,4500,,,,
3512005,Belleville,CY,"Low-income measure, after tax (LIM-AT)",1,1,Total - Household type,1,3,21730,0,21730,4550,17185,20.93397746,,,
3512005,Belleville,CY,"Low-income measure, after tax (LIM-AT)",1,1,One-person households,2,,6715,0,6715,2255,4460,,,,
3512005,Belleville,CY,"Low-income measure, after tax (LIM-AT)",1,1,Households of two or more persons,3,,15015,0,15015,2290,12725,,,,
3512005,Belleville,CY,"Low-income measure, after tax (LIM-AT)",1,1,One-census-family households without additional persons,4,,12765,0,12765,1910,10855,,,,
3512005,Belleville,CY,"Low-income measure, after tax (LIM-AT)",1,1,Other households of two or more persons,5,4,2250,0,2250,380,1870,,,,
3512005,Belleville,CY,"Low-income measure, before tax (LIM-BT)",2,2,Total - Household type,1,3,21730,0,21730,5580,16155,,,,
3512005,Belleville,CY,"Low-income measure, before tax (LIM-BT)",2,2,One-person households,2,,6720,0,6720,2640,4080,,,,
3512005,Belleville,CY,"Low-income measure, before tax (LIM-BT)",2,2,Households of two or more persons,3,,15015,0,15015,2940,12075,,,,
3512005,Belleville,CY,"Low-income measure, before tax (LIM-BT)",2,2,One-census-family households without additional persons,4,,12765,0,12765,2450,10310,,,,
3512005,Belleville,CY,"Low-income measure, before tax (LIM-BT)",2,2,Other households of two or more persons,5,4,2250,0,2250,490,1755,,,,
3515,Peterborough,,"Low-income measure, after tax (LIM-AT)",1,1,Total - Household type,1,3,57740,610,57135,10635,46495,22.87342725,,,
3515,Peterborough,,"Low-income measure, after tax (LIM-AT)",1,1,One-person households,2,,15635,170,15470,5280,10180,,,,
3515,Peterborough,,"Low-income measure, after tax (LIM-AT)",1,1,Households of two or more persons,3,,42110,440,41665,5355,36310,,,,
3515,Peterborough,,"Low-income measure, after tax (LIM-AT)",1,1,One-census-family households without additional persons,4,,35960,370,35595,4260,31330,,,,
3515,Peterborough,,"Low-income measure, after tax (LIM-AT)",1,1,Other households of two or more persons,5,4,6145,75,6075,1090,4985,,,,
3515,Peterborough,,"Low-income measure, before tax (LIM-BT)",2,2,Total - Household type,1,3,57740,610,57130,13175,43955,,,,
3515,Peterborough,,"Low-income measure, before tax (LIM-BT)",2,2,One-person households,2,,15635,170,15470,6205,9265,,,,
3515,Peterborough,,"Low-income measure, before tax (LIM-BT)",2,2,Households of two or more persons,3,,42105,440,41665,6970,34695,,,,
3515,Peterborough,,"Low-income measure, before tax (LIM-BT)",2,2,One-census-family households without additional persons,4,,35960,365,35590,5595,29995,,,,
