Region Identifier,Region,Actual incidents,"Rate per 100,000 population ",Percentage change in rate ,Total cleared,"Total, persons charged ","Rate, total persons charged per 100,000 population aged 12 years and over ","Total, adult charged","Rate, adult charged per 100,000 population aged 18 years and over","Total, youth charged ","Rate, youth charged per 100,000 population aged 12 to 17 years "
35521,Kingston,0,0,0,0,0,0,0,0,0,0
35522,Belleville,1,0.99,6.01,1,1,1.14,1,1.23,0,0
35529,Peterborough,2,1.62,100,1,1,0.92,0,0,1,13.89
35535,Toronto,52,0.85,21.74,48,63,1.19,60,1.23,3,0.72
35537,Hamilton,14,1.87,97.83,12,10,1.54,9,1.51,1,1.88
35539,St.Catharines,1,0.22,-75.31,1,1,0.25,1,0.27,0,0
,Niagara,1,0.22,-75.31,1,1,0.25,1,0.27,0,0
35541,Kitchener,5,0.9,22.44,2,5,1.05,5,1.14,0,0
,Cambridge,5,0.9,22.44,2,5,1.05,5,1.14,0,0
,Waterloo,5,0.9,22.44,2,5,1.05,5,1.14,0,0
35543,Brantford,1,0.69,100,1,1,0.8,1,0.88,0,0
35550,Guelph,1,0.73,-51.34,1,1,0.85,1,0.92,0,0
35555,London,10,1.96,40.64,2,2,0.45,2,0.49,0,0
35559,Windsor,0,0,-100,0,0,0,0,0,0,0
35568,Barrie,2,0.91,-1.87,1,2,1.06,2,1.16,0,0
35580,Greater Sudbury,2,1.21,-33.48,2,2,1.37,2,1.48,0,0
35595,Thunder Bay,0,0,0,0,0,0,0,0,0,0
