Region,Total - Labour force status [2],In the labour force,Employed,Unemployed,Not in the labour force,Participation rate,Employment rate,Unemployment rate,% no postsecondary study
Kingston,102120,63770,58710,5060,38355,62.4,57.5,7.9,41.67645907
Belleville,41475,24380,22640,1735,17100,58.8,54.6,7.1,51.12718505
Peterborough,115245,68180,62740,5440,47065,59.2,54.4,8,45.92823984
Toronto,2294790,1483680,1361375,122305,811110,64.7,59.3,8.2,40.89393801
Hamilton,441060,278640,259070,19575,162410,63.2,58.7,7,48.36530177
St.Catharines,111055,67005,61575,5435,44050,60.3,55.4,8.1,49.16482824
Niagara,371555,226595,209890,16705,144965,61,56.5,7.4,49.46643162
Kitchener,189220,130080,121190,8890,59140,68.7,64,6.8,47.56632491
Cambridge,104035,71880,67305,4575,32150,69.1,64.7,6.4,53.52525592
Waterloo,86985,57270,53325,3950,29710,65.8,61.3,6.9,38.96648848
Brantford,78495,49970,46540,3430,28530,63.7,59.3,6.9,54.06713803
Guelph,107445,75685,71075,4610,31760,70.4,66.2,6.1,43.78519242
London,316310,199835,184015,15815,116475,63.2,58.2,7.9,44.38367424
Windsor,178585,101880,92535,9345,76710,57,51.8,9.2,50.92252989
Barrie,113570,78945,73075,5870,34630,69.5,64.3,7.4,48.60878753
Greater Sudbury,133735,83740,76755,6990,49995,62.6,57.4,8.3,46.02759188
Thunder Bay,121260,73140,67115,6025,48120,60.3,55.3,8.2,47.10951674
